OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
5186e486-25b2-440f-b4f0-cbf467ea3cc0,1956-01-27,Option,Buy,RSI,Buy 1 call option,100,-35265.069701904475,
1417476d-d48b-4dc4-be22-63d49139178e,1956-02-24,Option,Sell,RSI,Sell 1 put option,100,79724.79228480393,
32699f2f-ad18-49d6-9b59-9f0720984f5f,1956-04-19,Option,Buy,RSI,Buy 1 call option,100,-72075.12388299714,
0a65b7f9-fe4c-40d5-8887-c9bd699a69c4,1956-04-26,Option,Buy,RSI,Buy 1 call option,100,-69555.14420639693,
a4b2391d-efbf-4dff-8944-1d61f2fb8b0b,1956-05-15,Option,Buy,RSI,Buy 1 call option,100,-63605.08221980446,
b948bd56-8b2c-4d89-beb8-d1a76681b876,1956-06-08,Option,Sell,RSI,Sell 1 put option,100,82164.78461560725,
dcf68e81-2b94-422f-9751-1369dd4c0393,1956-06-12,Option,Sell,RSI,Sell 1 put option,100,85014.78304479571,
d9568577-4373-4caf-8625-6db8eee15556,1956-06-26,Option,Sell,MAVG,Sell 2 call options,200,169989.56978558825,
79607fef-4fa7-4f84-9481-c9a33c6dd5ff,1956-06-29,Option,Sell,RSI,Sell 1 put option,100,86094.78616330295,
aa98c86a-ab27-48f1-b793-261bac13271c,1956-07-03,Option,Sell,RSI,Sell 1 put option,100,87094.7874337981,
60f96696-0835-462d-9b30-c27b5972c613,1956-07-11,Option,Buy,MAVG,Buy 3 call options,213,-193137.97731786757,
51237257-726a-4502-af7c-6839fe059113,1956-08-15,Option,Buy,RSI,Buy 1 call option,100,-92125.10688370006,
ea3af33d-95b2-4b06-aa54-a4754eab6830,1956-08-23,Option,Buy,RSI,Buy 1 call option,100,-89895.10318769551,
cd2d51ff-a4cd-433b-9c63-e301593069c4,1956-08-30,Option,Buy,RSI,Buy 1 call option,100,-87165.10263329954,
f0f22635-8a49-4353-9547-7a95714524a6,1956-09-20,Option,Buy,RSI,Buy 1 call option,100,-82005.09725330077,
49434544-41b3-4be2-8010-dedaf1be4bab,1956-09-28,Option,Sell,MAVG,Sell 2 call options,196,159455.38481909636,
c8f11592-43bc-4ee8-a188-adb7d13b9f64,1956-10-25,Option,Buy,RSI,Buy 1 call option,100,-84065.10364969698,
9e54be9b-bed8-4a34-916d-e081d579f511,1956-11-07,Option,Sell,RSI,Sell 1 put option,100,85464.78978999997,
f5d4b53f-b5d7-4ff5-96d2-ef0fc7721210,1956-12-06,Option,Sell,RSI,Sell 1 put option,100,83804.78969759817,
e5ec7985-5006-47d6-b80a-9c6cd2a9f15b,1956-12-13,Option,Sell,RSI,Sell 1 put option,100,82484.79085259789,
85633ecf-96ad-4d51-b789-d02fbb504173,1957-01-15,Option,Buy,RSI,Buy 1 call option,100,-77665.10383450193,
