Date,Pe_value
01/01/1970,15.76
01/02/1970,15.35
01/03/1970,15.75
01/04/1970,15.38
01/05/1970,13.68
01/06/1970,13.69
01/07/1970,13.84
01/08/1970,14.4
01/09/1970,15.41
01/10/1970,15.98
01/11/1970,16.18
01/12/1970,17.55
01/01/1971,18.12
01/02/1971,18.71
01/03/1971,19.08
01/04/1971,19.62
01/05/1971,19.21
01/06/1971,18.74
01/07/1971,18.47
01/08/1971,18.04
01/09/1971,18.31
01/10/1971,17.63
01/11/1971,16.54
01/12/1971,17.4
01/01/1972,18
01/02/1972,18.23
01/03/1972,18.54
01/04/1972,18.57
01/05/1972,18.19
01/06/1972,18.09
01/07/1972,17.78
01/08/1972,18.26
01/09/1972,17.82
01/10/1972,17.59
01/11/1972,18.18
01/12/1972,18.3
01/01/1973,18.08
01/02/1973,17.12
01/03/1973,16.53
01/04/1973,15.89
01/05/1973,15.12
01/06/1973,14.5
01/07/1973,14.34
01/08/1973,13.77
01/09/1973,13.73
01/10/1973,13.99
01/11/1973,12.75
01/12/1973,11.62
01/01/1974,11.68
01/02/1974,11.27
01/03/1974,11.66
01/04/1974,10.89
01/05/1974,10.41
01/06/1974,10.27
01/07/1974,8.95
01/08/1974,8.46
01/09/1974,7.48
01/10/1974,7.68
01/11/1974,8.01
01/12/1974,7.54
01/01/1975,8.3
01/02/1975,9.31
01/03/1975,9.91
01/04/1975,10.22
01/05/1975,11.1
01/06/1975,11.61
01/07/1975,11.72
01/08/1975,10.95
01/09/1975,10.91
01/10/1975,11.31
01/11/1975,11.42
01/12/1975,11.14
01/01/1976,11.83
01/02/1976,11.93
01/03/1976,11.67
01/04/1976,11.5
01/05/1976,11.18
01/06/1976,11.01
01/07/1976,11.14
01/08/1976,10.93
01/09/1976,11.05
01/10/1976,10.54
01/11/1976,10.34
01/12/1976,10.57
01/01/1977,10.41
01/02/1977,10.08
01/03/1977,9.98
01/04/1977,9.72
01/05/1977,9.58
01/06/1977,9.53
01/07/1977,9.52
01/08/1977,9.21
01/09/1977,8.99
01/10/1977,8.7
01/11/1977,8.71
01/12/1977,8.62
01/01/1978,8.28
01/02/1978,8.16
01/03/1978,8.13
01/04/1978,8.41
01/05/1978,8.75
01/06/1978,8.7
01/07/1978,8.57
01/08/1978,9.07
01/09/1978,8.98
01/10/1978,8.51
01/11/1978,7.84
01/12/1978,7.79
01/01/1979,7.88
01/02/1979,7.57
01/03/1979,7.53
01/04/1979,7.55
01/05/1979,7.25
01/06/1979,7.27
01/07/1979,7.23
01/08/1979,7.45
01/09/1979,7.42
01/10/1979,7.1
01/11/1979,7.02
01/12/1979,7.25
01/01/1980,7.39
01/02/1980,7.61
01/03/1980,6.85
01/04/1980,6.79
01/05/1980,7.15
01/06/1980,7.67
01/07/1980,8.07
01/08/1980,8.38
01/09/1980,8.64
01/10/1980,8.86
01/11/1980,9.19
01/12/1980,9.01
01/01/1981,9.02
01/02/1981,8.76
01/03/1981,9.14
01/04/1981,9.13
01/05/1981,8.86
01/06/1981,8.81
01/07/1981,8.55
01/08/1981,8.54
01/09/1981,7.75
01/10/1981,7.83
01/11/1981,8.02
01/12/1981,8.06
01/01/1982,7.73
01/02/1982,7.64
01/03/1982,7.48
01/04/1982,7.97
01/05/1982,8.09
01/06/1982,7.74
01/07/1982,7.83
01/08/1982,7.97
01/09/1982,9.03
01/10/1982,10.02
01/11/1982,10.66
01/12/1982,11.03
01/01/1983,11.48
01/02/1983,11.75
01/03/1983,12.23
01/04/1983,12.64
01/05/1983,13.1
01/06/1983,13.22
01/07/1983,13.02
01/08/1983,12.43
01/09/1983,12.57
01/10/1983,12.39
01/11/1983,11.98
01/12/1983,11.72
01/01/1984,11.52
01/02/1984,10.59
01/03/1984,10.31
01/04/1984,10.12
01/05/1984,9.86
01/06/1984,9.45
01/07/1984,9.26
01/08/1984,10
01/09/1984,10.03
01/10/1984,9.93
01/11/1984,10.01
01/12/1984,9.89
01/01/1985,10.36
01/02/1985,10.98
01/03/1985,10.95
01/04/1985,11.2
01/05/1985,11.65
01/06/1985,12.1
01/07/1985,12.44
01/08/1985,12.26
